Unnamed: 0,Restaurant,Location,Cuisines,Rating,Votes,Reviews,Delivery_Time,Average_Cost_Rupees,Minimum_Order_Rupees,Bakery,Thai,Kerala,African,Assamese,Finger Food,Andhra,Awadhi,Portuguese,Indonesian,Hot dogs,Nepalese,Brazilian,Bar Food,Wraps,Sandwich,Bubble Tea,Lucknowi,Mithai,Coffee,Steak,Goan,Chettinad,Tea,Salad,Afghan,Fast Food,Korean,Odia,German,Kashmiri,Kebab,Tex-Mex,Continental,Seafood,Mughlai,Rolls,Tamil,Naga,Parsi,Street Food,Poké,Burmese,Desserts,Sri Lankan,South American,Asian,BBQ,Raw Meats,Vietnamese,Charcoal Chicken,Sushi,Japanese,Bangladeshi,Italian,Paan,Rajasthani,Tibetan,Momos,Lebanese,Bengali,Roast Chicken,Modern Indian,Malwani,Beverages,Mexican,Juices,Hyderabadi,North Eastern,Turkish,Burger,Cantonese,Chinese,Pizza,Spanish,Bihari,Middle Eastern,Maharashtrian,Cafe,North Indian,Malaysian,French,Konkan,Iranian,Mediterranean,Gujarati,Arabian,Bohri,Biryani,Mishti,Greek,Belgian,Indian,Ice Cream,Mangalorean,Frozen Yogurt,Israeli,American,Healthy Food,South Indian,European,"FTI College, Law College Road, Pune","Sector 3, Marathalli",Mumbai Central,"Sector 1, Noida","Rmz Centennial, I Gate, Whitefield",Delhi University-GTB Nagar,"Yerawada, Pune, Maharashtra","Delhi Administration Flats, Timarpur","Moulali, Kolkata","Dockyard Road, Mumbai CST Area",Pune University,"Gora Bazar, Rajbari, North Dumdum, Kolkata","D-Block, Sector 63, Noida","Sector 14, Noida","Mico Layout, Stage 2, BTM Layout,Bangalore","Laxman Vihar Industrial Area, Sector 3A, Gurgoan","Tiretti, Kolkata","Sandhurst Road, Mumbai CST Area","MG Road, Pune","Hyderabad Public School, Begumpet",Majestic,"Chandni Chowk, Kolkata","Delhi High Court, India Gate","Chatta Bazaar, Malakpet, Hyderabad",Delhi Cantt.,"Babarpur, New Delhi, Delhi","Nathan Road, Mangaldas Road, Pune","Panjetan Colony, Malakpet, Hyderabad","Sector 63A,Gurgaon","Raja Bazar, Kolkata","Tejas Nagar Colony, Wadala West, Mumbai","Jaya Nagar, Saidabad, Hyderabad","Noorkhan Bazaar, Malakpet, Hyderabad","Musi Nagar, Malakpet, Hyderabad","BTM Layout 1, Electronic City"
0,ID_6321,"FTI College, Law College Road, Pune","Fast Food, Rolls, Burger, Salad, Wraps",3.5,12.0,4.0,30,200.0,50,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,ID_2882,"Sector 3, Marathalli","Ice Cream, Desserts",3.5,11.0,4.0,30,100.0,50,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2,ID_1595,Mumbai Central,"Italian, Street Food, Fast Food",3.6,99.0,30.0,65,150.0,50,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3,ID_5929,"Sector 1, Noida","Mughlai, North Indian, Chinese",3.7,176.0,95.0,30,250.0,99,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
4,ID_6123,"Rmz Centennial, I Gate, Whitefield","Cafe, Beverages",3.2,521.0,235.0,65,200.0,99,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
5,ID_5221,"Rmz Centennial, I Gate, Whitefield","South Indian, North Indian, Chinese",3.8,46.0,18.0,30,150.0,50,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
6,ID_3777,Mumbai Central,"Beverages, Fast Food",3.7,108.0,31.0,30,150.0,50,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
7,ID_745,Delhi University-GTB Nagar,"Chinese, Thai, Asian",4.0,1731.0,1235.0,45,650.0,50,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
8,ID_2970,Delhi University-GTB Nagar,"Mithai, Street Food",3.9,110.0,26.0,30,100.0,50,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
9,ID_3474,"Sector 1, Noida","Fast Food, North Indian, Rolls, Chinese, Momos, Mughlai",3.9,562.0,294.0,65,200.0,50,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
